2015-10-30 09:34:53,745 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group1:encryptor1:0.0.1-SNAPSHOT @ C:\Users\user\Documents\IAF Basic Training\encryptor1\pom.xml.
2015-10-30 09:34:54,802 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group1:encryptor1:0.0.1-SNAPSHOT @ C:\Users\user\Documents\IAF Basic Training\encryptor1\pom.xml.
2015-10-30 09:34:56,409 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /encryptor1/src/main/java
2015-10-30 09:34:56,409 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /encryptor1/src/main/resources
2015-10-30 09:34:56,410 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /encryptor1/src/test/java
2015-10-30 09:34:56,410 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /encryptor1/src/test/resources
2015-10-30 09:34:56,544 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 12 sec
2015-10-30 09:39:12,297 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group1:encryptor1:0.0.1-SNAPSHOT @ C:\Users\user\Documents\IAF Basic Training\encryptor1\pom.xml.
2015-10-30 09:39:14,114 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1255 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-30 09:39:14,123 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-30 09:39:14,142 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1255 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-30 09:39:14,143 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-30 09:39:16,620 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1255 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-30 09:39:16,622 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-30 09:39:16,626 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1255 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-30 09:39:16,627 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-30 09:39:27,808 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: group1:encryptor1:0.0.1-SNAPSHOT @ C:\Users\user\Documents\IAF Basic Training\encryptor1\pom.xml.
2015-10-30 09:39:27,918 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1255 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-30 09:39:27,921 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-30 09:39:27,924 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1255 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-30 09:39:27,926 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
